CAR_CHC_ID,Reference_Number,Adv_Name_E,Program,Dept_Code,Class_Group,Class_Lvl,Appl_Submitted,url
785582,AGR15J-009947-000113,Working Level Labourer,JOP,AGR,GL,05,70,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=785582
815634,AGR15J-014621-000047,Research Assistant,JOP,AGR,EG,05,81,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=815634
824695,CSD15J-015377-000026,Team Leader,INT,CSD,AS,04,60,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=824695
837595,MOT15J-014518-000072,Audit Manager,INT,MOT,FI,04,21,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=837595
843826,PCH15J-016486-000029,"Stream 1: Senior Communications Advisor / Stream 2: Team Leader, Media Relations",INT,PCH,IS,05,58,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=843826
852041,IAN15J-010829-000066,"Manager, Negotiations, Contracts and Research",JOP,IAN,AB,11,57,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=852041
854223,DVA15J-008708-000095,Various Director Positions (AMENDMENT * Asset qualifications),INT,DVA,EX,01,72,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=854223
860129,ESO15J-016746-000008,"Programmer Analyst, Application Development (Anticipatory)",JOP,ESO,CS,02,11,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=860129
862562,EXT15J-015428-000050,TECHNICAL SPECIALIST,JOP,EXT,CS,02,17,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=862562
863104,PCH15J-016485-000004,Senior Policy Analyst,INT,PCH,CO,02,90,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=863104
863839,IAN15J-015660-000007,Senior Engineer,JOP,IAN,EN,04,34,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=863839
865540,RSN15J-013757-000150,Research Scientist - Seismologist,JOP,RSN,SE,01,41,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=865540
