var temp_adv_data = `one_position,int_process,predicted,lower,upper,Class_Group,Class_Grp_Lvl,Dept_Code,Language,Region_NCR
0,0,175.4465127,168.3106796,182.8848823,ANY,ANY,ANY,ANY,ANY
1,0,62.68921603,60.05732398,65.43644548,ANY,ANY,ANY,ANY,ANY
0,1,61.10077194,59.01450595,63.26079108,ANY,ANY,ANY,ANY,ANY
1,1,21.83206398,21.19097043,22.49255263,ANY,ANY,ANY,ANY,ANY
0,0,95.17485192,54.26834689,166.9159456,AB,ANY,ANY,ANY,ANY
0,0,42.22856062,24.95418687,71.46100736,AO,ANY,ANY,ANY,ANY
0,0,38.98615833,22.04110749,68.95844694,AR,ANY,ANY,ANY,ANY
0,0,212.6364184,199.9379642,226.1413766,AS,ANY,ANY,ANY,ANY
0,0,102.3809372,67.90041359,154.371023,AU,ANY,ANY,ANY,ANY
0,0,204.6322829,168.7555866,248.1362071,BI,ANY,ANY,ANY,ANY
0,0,118.1649967,76.95756188,181.4372247,CH,ANY,ANY,ANY,ANY
0,0,142.8973785,122.2225654,167.0694826,CO,ANY,ANY,ANY,ANY
0,0,252.8481311,231.9998069,275.5699594,CR,ANY,ANY,ANY,ANY
0,0,189.7702704,172.0561686,209.3081337,CS,ANY,ANY,ANY,ANY
0,0,120,22.77364785,632.3097684,DA,ANY,ANY,ANY,ANY
0,0,127.5705921,86.03560074,189.1572306,DS,ANY,ANY,ANY,ANY
0,0,240.3186059,222.3920715,259.6901586,EC,ANY,ANY,ANY,ANY
0,0,139.6601798,92.59789694,210.6415638,ED,ANY,ANY,ANY,ANY
0,0,117.3257065,105.3131862,130.7084317,EG,ANY,ANY,ANY,ANY
0,0,106.6324267,76.71511297,148.2168766,EL,ANY,ANY,ANY,ANY
0,0,113.4721504,95.26952361,135.1526535,EN,ANY,ANY,ANY,ANY
0,0,39,7.255715763,209.6278368,EU,ANY,ANY,ANY,ANY
0,0,201.2736131,181.2341144,223.5289281,EX,ANY,ANY,ANY,ANY
0,0,282.0877146,248.8274031,319.793872,FI,ANY,ANY,ANY,ANY
0,0,68.64432564,45.68582103,103.1401721,FR,ANY,ANY,ANY,ANY
0,0,61.21179384,53.36073417,70.21799388,GL,ANY,ANY,ANY,ANY
0,0,93.55501264,77.32186927,113.196182,GS,ANY,ANY,ANY,ANY
0,0,99.07499232,84.54525128,116.1017793,GT,ANY,ANY,ANY,ANY
0,0,29.6957274,18.75460062,47.01972832,HP,ANY,ANY,ANY,ANY
0,0,78.71320504,33.57818853,184.5176562,HS,ANY,ANY,ANY,ANY
0,0,149.3468618,132.0246583,168.941813,IS,ANY,ANY,ANY,ANY
0,0,118.8749909,98.42317849,143.5765811,LP,ANY,ANY,ANY,ANY
0,0,29.94601042,13.76932343,65.12764003,MD,ANY,ANY,ANY,ANY
0,0,291.5979925,267.3912506,317.9961537,Multi,ANY,ANY,ANY,ANY
0,0,113.0021275,67.93749487,187.9592535,NB,ANY,ANY,ANY,ANY
0,0,53.72844393,43.67040689,66.10301788,NU,ANY,ANY,ANY,ANY
0,0,67.54430687,28.78120014,158.5143555,OM,ANY,ANY,ANY,ANY
0,0,11,1.902490758,63.60083457,OP,ANY,ANY,ANY,ANY
0,0,162.3339628,139.9313334,188.3231929,PC,ANY,ANY,ANY,ANY
0,0,153.7571666,138.5532318,170.6294827,PE,ANY,ANY,ANY,ANY
0,0,181.6473763,157.9499112,208.9002082,PG,ANY,ANY,ANY,ANY
